[16:28:38.509] | INFO  | main                             | YandexComp                       | Select ChromeDriver: chrome on MAC (fa26b2c7c0fb05b5f1cc8b701abcc111)
[16:28:38.564] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[16:28:38.710] | INFO  | main                             | YandexComp                       | driver shutDown
[16:30:09.738] | INFO  | main                             | YandexComp                       | Initialized driver
[16:30:12.132] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (3556cde6d005f430375aed4e13edb6c1)
[16:30:12.832] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[16:30:15.577] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[16:30:19.176] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[16:30:19.492] | INFO  | main                             | YandexComp                       | Select HUAWEI
[16:30:19.969] | INFO  | main                             | YandexComp                       | Select Xiaomi
[16:30:19.985] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[16:30:20.131] | INFO  | main                             | YandexComp                       | driver shutDown
[16:36:37.398] | INFO  | main                             | YandexComp                       | Initialized driver
[16:36:39.998] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (2a3a6b68640214473c6e38a838c39025)
[16:36:41.722] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[16:36:43.495] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[16:36:46.763] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[16:36:47.158] | INFO  | main                             | YandexComp                       | Select HUAWEI
[16:36:47.520] | INFO  | main                             | YandexComp                       | Select Xiaomi
[16:36:47.520] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[16:36:47.534] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[16:36:47.687] | INFO  | main                             | YandexComp                       | driver shutDown
[17:05:14.972] | INFO  | main                             | YandexComp                       | Initialized driver
[17:05:17.584] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (1e6c962ee6003c93704f4a338a29b348)
[17:05:18.266] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[17:05:21.141] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[17:05:24.314] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[17:05:24.726] | INFO  | main                             | YandexComp                       | Select HUAWEI
[17:05:25.089] | INFO  | main                             | YandexComp                       | Select Xiaomi
[17:05:25.089] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[17:05:25.111] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[17:05:25.262] | INFO  | main                             | YandexComp                       | driver shutDown
[17:49:24.482] | INFO  | main                             | YandexComp                       | Initialized driver
[17:49:26.996] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (7d19be5c714b561ad9d0236010265f4a)
[17:49:27.561] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[17:49:30.122] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[17:49:33.529] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[17:49:33.937] | INFO  | main                             | YandexComp                       | Select HUAWEI
[17:49:34.303] | INFO  | main                             | YandexComp                       | Select Xiaomi
[17:49:34.303] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[17:49:36.019] | INFO  | main                             | YandexComp                       | Мобильные телефоны — купить на Яндекс.Маркете
[17:49:36.164] | INFO  | main                             | YandexComp                       | driver shutDown
[17:50:32.227] | INFO  | main                             | YandexComp                       | Initialized driver
[17:50:34.754] | INFO  | main                             | YandexComp                       | Started: ChromeDriver: chrome on MAC (7722e7964e30865350e6cbf214f71703)
[17:50:35.460] | INFO  | main                             | YandexComp                       | Open link: https://market.yandex.ru/
[17:50:38.114] | INFO  | main                             | YandexComp                       | Open page 'Elecktronika'
[17:50:41.896] | INFO  | main                             | YandexComp                       | Open page 'Mobile'
[17:50:42.272] | INFO  | main                             | YandexComp                       | Select HUAWEI
[17:50:42.711] | INFO  | main                             | YandexComp                       | Select Xiaomi
[17:50:42.711] | INFO  | main                             | YandexComp                       | Sort HUAWEI and Xiaomi
[17:50:44.462] | INFO  | main                             | YandexComp                       | Wait button - 'see more'
